cell,stimul,frame,time,mask,int,delta,rel
cell8_02_22,20,112,92.0,cell,459.483,-0.07307710851491381,459.483
cell8_02_22,20,112,92.0,up,485.852,0.0025171671459649405,1.0573884126289763
cell8_02_22,20,112,92.0,down,436.977,-0.11797280508494251,0.9510188625041622
cell8_02_22,20,113,93.0,cell,457.409,-0.07726102408293282,457.409
cell8_02_22,20,113,93.0,up,494.568,0.020501943639309083,1.0812380167421278
cell8_02_22,20,113,93.0,down,433.365,-0.12526353715558503,0.9474343530625764
cell8_02_22,20,114,94.0,cell,462.835,-0.0663150617531011,462.835
cell8_02_22,20,114,94.0,up,493.206,0.017691564384612654,1.0656194972290343
cell8_02_22,20,114,94.0,down,438.503,-0.11489261207835318,0.9474283491957177
cell8_02_22,20,115,95.0,cell,459.555,-0.07293186168709444,459.555
cell8_02_22,20,115,95.0,up,486.739,0.004347421477033808,1.0591528761519295
cell8_02_22,20,115,95.0,down,436.767,-0.11839668485649146,0.9504128994353233
cell8_02_22,20,116,96.0,cell,459.553,-0.07293589632120055,459.553
cell8_02_22,20,116,96.0,up,483.401,-0.00254027745995358,1.0518939055995717
cell8_02_22,20,116,96.0,down,437.158,-0.11760746109136926,0.9512678624663532
cell8_02_22,20,117,97.0,cell,456.846,-0.07839677358379812,456.846
